nro_registro_interno,fecha_ingreso_denuncia,tema,subtema,referido_tipo,nacionalidad,provincia,localidad,genero,edad_aparente,embarazada,discapacidad,provincia_indec_id,barrio
5525554505,2020-01-08,Trata,Explotación sexual,Acusado,,Salta,Tartagal,Hombre,,No,,66,
7525554505,2020-01-08,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Melchor Romero,Mujer,,No,,6,
1535554505,2020-01-09,Trata,Posible captación,Acusado,,Salta,Salta,Mujer,,No,,66,
2535554505,2020-01-09,Trata,Posible captación,Victima directa,Argentina,Mendoza,Rivadavia,Mujer,24,No,,50,
3535554505,2020-01-09,Trata,Posible captación,Victima directa,Argentina,Mendoza,Rivadavia,Mujer,,No,,50,
545554505,2020-01-09,Trata,Posible captación,Victima directa,Argentina,Buenos Aires,,Mujer,,No,,6,
545554505,2020-01-09,Trata,Posible captación,Acusado,Argentina,Buenos Aires,San Isidro,Mujer,,No,,6,
5535554505,2020-01-09,Trata,Persona desaparecida,Victima directa,,Buenos Aires,3 DE FEBRERO,Mujer,,No,,6,
7535554505,2020-01-09,Trata,Posible captación,Victima directa,,Mendoza,,Mujer,,No,,50,
7545554505,2020-01-10,Trata,Explotación sexual,Acusado,,,,Hombre,,No,,,
7545554505,2020-01-10,Trata,Explotación sexual,Acusado,,,,Mujer,,No,,,
9455554505,2020-01-10,Trata,Persona desaparecida,Acusado,,,,,,No,,,
9455554505,2020-01-10,Trata,Persona desaparecida,Victima directa,,Buenos Aires,Quilmes,Mujer,,No,,6,
4555554505,2020-01-11,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,San Miguel,Mujer,,No,,6,
565554505,2020-01-11,Trata,"Persona desaparecida, posible captación",Victima directa,Argentina,Buenos Aires,Gobernador Costa,Mujer,24,Sí,,6,
8465554505,2020-01-11,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,,,Mujer,,No,,,
9465554505,2020-01-11,Trata,Explotación sexual,Acusado,Argentina,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Hombre,50,No,,2,
1575554505,2020-01-13,Trata,Oferta laboral engañosa,Acusado,,,,Hombre,,No,,,
3575554505,2020-01-13,Trata,Explotación sexual,Acusado,,Santa Fe,Termas de Río Hondo,Hombre,,No,,82,
1584654505,2020-01-14,Trata,Explotación sexual,Victima directa,,,,Mujer,,No,,,
1594654505,2020-01-15,Trata,Explotación sexual,Victima directa,,,,Mujer,,No,,,
1594654505,2020-01-15,Trata,Explotación sexual,Acusado,,,,Hombre,,No,,,
5584654505,2020-01-15,Trata,Explotación sexual,Victima directa,Argentina,,,Mujer,,No,,,
594654505,2020-01-15,Trata,Explotación laboral,Victima directa,,,,Hombre,,No,,,
6584654505,2020-01-15,Trata,Venta de niños y otros delitos,Acusado,,Buenos Aires,Buenos Aires,Hombre,,No,,6,
3594654505,2020-01-16,Trata,Explotación sexual,Acusado,Dominica,,,Hombre,,No,,,
4505654505,2020-01-16,Trata,"Explotación laboral, explotación laboral niñas, niños y adolescentes",Victima directa,Argentina,Buenos Aires,Virrey del Pino,Mujer,,No,,6,
4505654505,2020-01-16,Trata,"Explotación laboral, explotación laboral niñas, niños y adolescentes",Acusado,,Buenos Aires,Virrey del Pino,Hombre,,No,,6,
5594654505,2020-01-16,Trata,Explotación laboral,Victima directa,Argentina,Buenos Aires,Marcos Paz,Hombre,,No,,6,
1515654505,2020-01-17,Trata,Persona desaparecida,Victima indirecta - familiar,Argentina,Tucumán,Famaillá,Mujer,,No,,90,
1515654505,2020-01-17,Trata,Persona desaparecida,Victima directa,,Tucumán,Famaillá,Mujer,,No,,90,
6505654505,2020-01-17,Trata,Explotación laboral,Acusado,,Chubut,Comodoro Rivadavia,Mujer,,No,,26,
8415654505,2020-01-17,Trata,Explotación sexual,Victima directa,Argentina,Tucumán,San Miguel de Tucumán,Mujer,,No,,90,
8415654505,2020-01-17,Trata,Explotación sexual,Acusado,,Tucumán,San Miguel de Tucumán,Hombre,,No,,90,
3515654505,2020-01-18,Trata,Explotación sexual,Acusado,,,,Hombre,,No,,,
3515654505,2020-01-18,Trata,Explotación sexual,Acusado,,,,Mujer,,No,,,
4515654505,2020-01-18,Trata,Posible captación,Acusado,,,,Hombre,,No,,,
5515654505,2020-01-18,Trata,Persona desaparecida,Victima directa,Argentina,Córdoba,Jesus María,Mujer,,No,,14,
5515654505,2020-01-18,Trata,Persona desaparecida,Victima indirecta - familiar,,Córdoba,Jesus María,Mujer,,No,,14,
5515654505,2020-01-18,Trata,Persona desaparecida,Victima indirecta - familiar,,Santa Fe,Rosario,Mujer,,No,,82,
9425654505,2020-01-19,Trata,Explotación sexual,Acusado,Argentina,Tucumán,San Miguel de Tucumán,Hombre,,No,,90,
2535654505,2020-01-20,Trata,Posible captación,Acusado,,,,Hombre,,No,,,
6525654505,2020-01-20,Trata,Explotación sexual,Victima directa,,Buenos Aires,9 de Abril,Mujer,,No,,6,
2545654505,2020-01-21,Trata,Explotación sexual,Victima directa,,,,Transexual,,No,,,
2545654505,2020-01-21,Trata,Explotación sexual,Acusado,,,,Hombre,,No,,,
2545654505,2020-01-21,Trata,Explotación sexual,Acusado,,,,Mujer,,No,,,
2545654505,2020-01-21,Trata,Explotación sexual,Acusado,,,,Mujer,,No,,,
4535654505,2020-01-21,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Los Polvorines,Hombre,,No,,6,
4545654505,2020-01-21,Trata,Explotación sexual,Victima directa,,,,Transexual,,No,,,
545654505,2020-01-21,Trata,Explotación laboral,Acusado,,Salta,Salta,Mujer,,No,,66,
5545654505,2020-01-21,Trata,Posible captación,Acusado,,Buenos Aires,Valentín Alsina,Mujer,,No,,6,
2555654505,2020-01-22,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Villa Tesei,Mujer,28,Sí,Sí,6,
9455654505,2020-01-22,Trata,Explotación sexual,Acusado,,,,Mujer,,No,,,
3555654505,2020-01-23,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Pablo Nogués,Hombre,37,No,,6,
3555654505,2020-01-23,Trata,Persona desaparecida,Victima indirecta - familiar,Argentina,Buenos Aires,Bella Vista,Mujer,60,No,,6,
4555654505,2020-01-23,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Los Polvorines,Hombre,,No,,6,
565654505,2020-01-23,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Bahía Blanca,Hombre,,No,,6,
8465654505,2020-01-23,Trata,"Explotación sexual, pornografía infantil",Victima directa,Argentina,Buenos Aires,La Lonja Pilar Centro,Mujer,,No,No,6,
8465654505,2020-01-23,Trata,"Explotación sexual, pornografía infantil",Acusado,,Buenos Aires,Pilar Centro,Hombre,,No,,6,
8465654505,2020-01-23,Trata,"Explotación sexual, pornografía infantil",Victima directa,Argentina,Buenos Aires,Pilar Centro,Hombre,,No,,6,
7565654505,2020-01-24,Trata,Explotación sexual,Acusado,Argentina,,,Mujer,,No,,,
1584754505,2020-01-25,Trata,Explotación laboral,Acusado,,,,Hombre,,No,,,
7575654505,2020-01-25,Trata,Explotación sexual,Acusado,,,,Mujer,,No,,,
7575654505,2020-01-25,Trata,Explotación sexual,Acusado,,,,Mujer,,No,,,
7575654505,2020-01-25,Trata,Explotación sexual,Victima directa,,,,Mujer,,No,,,
8484754505,2020-01-25,Trata,Persona desaparecida,Victima directa,,Buenos Aires,Caseros,Mujer,,No,,6,
8484754505,2020-01-25,Trata,Persona desaparecida,Victima indirecta - familiar,,Buenos Aires,Caseros,Hombre,,No,,6,
8484754505,2020-01-25,Trata,Persona desaparecida,Victima indirecta - familiar,,Buenos Aires,Villa Bosch,Hombre,,No,,6,
5584754505,2020-01-26,Trata,Posible captación,Victima directa,Argentina,Córdoba,Córdoba,Mujer,,No,,14,
3594754505,2020-01-27,Trata,Oferta laboral engañosa,Acusado,,Buenos Aires,Pergamino,Hombre,,No,,6,
1505754505,2020-01-28,Trata,Persona desaparecida,Victima directa,,Buenos Aires,Lomas de Zamora,Mujer,,No,,6,
3505754505,2020-01-29,Trata,Persona desaparecida,Victima directa,,Santa Fe,Rosario,Mujer,,No,,82,
3505754505,2020-01-29,Trata,Persona desaparecida,Victima indirecta - familiar,,,,Hombre,,No,,,
515754505,2020-01-29,Trata,Persona desaparecida,Victima directa,Paraguay,Buenos Aires,Barracas,Mujer,,No,,6,
5505754505,2020-01-29,Trata,Persona desaparecida,Victima directa,Paraguay,Buenos Aires,Barracas,Mujer,,No,,6,
9415754505,2020-01-29,Trata,"Explotación sexual, narcotráfico",Acusado,,Córdoba,Villa Carlos Paz,Mujer,,No,,14,
9415754505,2020-01-29,Trata,"Explotación sexual, narcotráfico",Acusado,,Córdoba,Villa Carlos Paz,Hombre,,No,,14,
2515754505,2020-01-30,Trata,Persona desaparecida,Victima directa,Paraguay,Buenos Aires,Barracas,Mujer,,No,,6,
6515754505,2020-01-30,Trata,Explotación sexual,Acusado,,Corrientes,Esquina,Hombre,,No,,18,
6515754505,2020-01-30,Trata,Explotación sexual,Victima directa,Argentina,Corrientes,Esquina,Mujer,,No,,18,
9425754505,2020-01-30,Trata,Explotación sexual,Victima directa,,,,Mujer,,No,,,
9425754505,2020-01-30,Trata,Explotación sexual,Acusado,,Buenos Aires,Valentín Alsina,Mujer,,No,,6,
1525754505,2020-01-31,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,,Mendoza,Palmira,,,No,,50,
1525754505,2020-01-31,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,,,,Hombre,,No,,,
1525754505,2020-01-31,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,,Mendoza,Palmira,Mujer,,No,,50,
1525754505,2020-01-31,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,,Mendoza,Palmira,Mujer,,No,,50,
1525754505,2020-01-31,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,,Mendoza,Palmira,Mujer,,No,,50,
1525754505,2020-01-31,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,,Entre Ríos,Gualeguaychú,Hombre,,No,,30,
2525754505,2020-01-31,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,,,,Mujer,,No,,,
2525754505,2020-01-31,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,,,,Hombre,,No,,,
525754505,2020-01-31,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,,Mujer,,No,,6,
1535754505,2020-02-01,Trata,Explotación laboral,Acusado,,Buenos Aires,Lomas de Zamora,Hombre,,No,,6,
1535754505,2020-02-01,Trata,Explotación laboral,Acusado,,,,Hombre,,No,,,
4525754505,2020-02-01,Trata,Posible captación,Acusado,Argentina,Mendoza,GUAYAMALLÉN,Hombre,,No,,50,
9435754505,2020-02-01,Trata,Abuso sexual infantil,Acusado,,Buenos Aires,Mar del Plata,Mujer,,No,,6,
3545754505,2020-02-02,Trata,Explotación laboral,Victima directa,Argentina,Buenos Aires,Cañuelas,Hombre,,No,,6,
4535754505,2020-02-02,Trata,Grooming,Victima directa,,Mendoza,General Alvear,Mujer,,No,,50,
4535754505,2020-02-02,Trata,Grooming,Acusado,,Mendoza,San Martín,Hombre,,No,,50,
6535754505,2020-02-02,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,,,,Mujer,,No,,,
6535754505,2020-02-02,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,,Buenos Aires,Burzaco,Mujer,,No,,6,
7545754505,2020-02-03,Trata,Explotación sexual,Acusado,,,,Mujer,,No,,,
7545754505,2020-02-03,Trata,Explotación sexual,Acusado,,,,Hombre,,No,,,
7545754505,2020-02-03,Trata,Explotación sexual,Acusado,,,,Mujer,,No,,,
7545754505,2020-02-03,Trata,Explotación sexual,Acusado,,,,,,No,,,
7545754505,2020-02-03,Trata,Explotación sexual,Acusado,,,,,,No,,,
7545754505,2020-02-03,Trata,Explotación sexual,Acusado,,,,Mujer,,No,,,
8455754505,2020-02-03,Trata,Explotación sexual,Victima directa,,,,Mujer,,No,,,
8455754505,2020-02-03,Trata,Explotación sexual,Acusado,,Buenos Aires,González Catán,,,No,,6,
7555754505,2020-02-04,Trata,"Explotación sexual, oferta laboral engañosa",Acusado,,Buenos Aires,,Hombre,,No,,6,
3565754505,2020-02-05,Trata,Abuso sexual infantil,Acusado,Argentina,,,Hombre,,No,No,,
8465754505,2020-02-05,Trata,Persona desaparecida,Victima directa,,,,Hombre,,No,,,
7565754505,2020-02-06,Trata,Explotación laboral,Acusado,,Formosa,Formosa,Hombre,,No,,34,
1584845505,2020-02-07,Trata,Abuso sexual infantil,Acusado,Argentina,Santa Fe,Santo Tomé,Hombre,,No,,82,
1584845505,2020-02-07,Trata,Abuso sexual infantil,Acusado,Argentina,Santa Fe,Santo Tomé,Hombre,,No,,82,
1584845505,2020-02-07,Trata,Abuso sexual infantil,Victima directa,Argentina,,,Mujer,,No,,,
4575754505,2020-02-07,Trata,Abuso sexual,Acusado,,Buenos Aires,Gobernador Costa,Hombre,,No,,6,
4575754505,2020-02-07,Trata,Abuso sexual,Victima directa,,Buenos Aires,Gobernador Costa,Mujer,,No,,6,
7575754505,2020-02-07,Trata,Pornografía infantil,Acusado,Argentina,Neuquén,Neuquén,Hombre,,No,,58,
9484845505,2020-02-07,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,La Plata,Mujer,,No,,6,
5584845505,2020-02-08,Trata,Oferta laboral engañosa,Acusado,,,,Mujer,,No,,,
3594845505,2020-02-09,Trata,Explotación sexual,Victima directa,,Jujuy,San Salvador de Jujuy,Mujer,,No,,38,
3594845505,2020-02-09,Trata,Explotación sexual,Acusado,,Jujuy,San Salvador de Jujuy,Mujer,,No,,38,
3594845505,2020-02-09,Trata,Explotación sexual,Acusado,,Jujuy,San Salvador de Jujuy,Hombre,,No,,38,
4594845505,2020-02-09,Trata,Explotación sexual,Victima directa,Argentina,Santa Fe,Santa Fe,Mujer,59,No,No,82,
4594845505,2020-02-09,Trata,Explotación sexual,Acusado,Argentina,Santa Fe,Santa Fe,Hombre,,No,No,82,
4594845505,2020-02-09,Trata,Explotación sexual,Victima indirecta - familiar,Argentina,,,Hombre,,No,No,,
2505845505,2020-02-10,Trata,Persona desaparecida,Victima directa,,,,,,No,,,
7594845505,2020-02-10,Trata,Posible captación,Acusado,,,,Mujer,,No,,,
1515845505,2020-02-11,Trata,Posible captación,Victima directa,,Salta,Salta,Mujer,,No,,66,
4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,,Mendoza,Palmira,,40,No,,50,
4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Mendoza,Palmira,Mujer,,No,,50,
4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Mendoza,#¿NOMBRE?,Hombre,33,No,,50,
4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,,Mendoza,Palmira,Mujer,15,No,,50,
4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,,Mendoza,Palmira,Mujer,,No,,50,
4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,,Mendoza,Palmira,Mujer,12,No,,50,
4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Mendoza,Palmira,Mujer,19,No,,50,
4505845505,2020-02-11,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Mendoza,Palmira,Mujer,17,No,,50,
7505845505,2020-02-11,Trata,Explotación laboral,Victima directa,Bolivia,,,Mujer,,No,,,
7505845505,2020-02-11,Trata,Explotación laboral,Victima directa,Bolivia,,,Hombre,,No,,,
9415845505,2020-02-11,Trata,Oferta laboral engañosa,Victima directa,Argentina,Buenos Aires,Villa Luzuriaga,Hombre,,No,,6,
9415845505,2020-02-11,Trata,Oferta laboral engañosa,Victima indirecta - familiar,Argentina,Buenos Aires,Villa Luzuriaga,Mujer,,No,,6,
2515845505,2020-02-12,Trata,Persona desaparecida,Victima directa,,Buenos Aires,,Mujer,,No,,6,
2515845505,2020-02-12,Trata,Persona desaparecida,Victima indirecta - familiar,Paraguay,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,,No,,2,
3515845505,2020-02-12,Trata,"Explotación laboral, posible captación",Victima indirecta - familiar,Peru,,,Mujer,,No,No,,
3515845505,2020-02-12,Trata,"Explotación laboral, posible captación",Victima directa,Peru,,,Mujer,20,No,No,,
4515845505,2020-02-12,Trata,Explotación sexual,Acusado,,,,Hombre,,No,No,,
2525845505,2020-02-13,Trata,Oferta laboral engañosa,Victima indirecta - familiar,Peru,,,Mujer,,No,No,,
2525845505,2020-02-13,Trata,Oferta laboral engañosa,Victima directa,Peru,,,Mujer,,No,No,,
1545845505,2020-02-14,Trata,Explotación sexual,Victima directa,Argentina,Santa Fe,Santa Fe,Mujer,,No,No,82,
1545845505,2020-02-14,Trata,Explotación sexual,Acusado,Argentina,Santa Fe,Santa Fe,Hombre,,No,No,82,
1545845505,2020-02-14,Trata,Explotación sexual,Victima indirecta - familiar,Argentina,,,Hombre,,No,No,,
3535845505,2020-02-14,Trata,Abuso sexual infantil,Acusado,,Mendoza,Mendoza,Mujer,,No,,50,
545845505,2020-02-14,Trata,Explotación sexual,Victima directa,,Santa Catarina,Guatambú,Mujer,,No,,,
7535845505,2020-02-14,Trata,Explotación laboral,Victima directa,Argentina,Tucumán,San Miguel de Tucumán,Hombre,,No,,90,
7535845505,2020-02-14,Trata,Explotación laboral,Victima directa,Argentina,Tucumán,San Miguel de Tucumán,Hombre,,No,,90,
8435845505,2020-02-14,Trata,Abuso sexual infantil,Victima directa,Argentina,,,Mujer,,No,,,
3545845505,2020-02-15,Trata,Trata de personas,Acusado,Haiti,Buenos Aires,Villa Sarmiento,Mujer,35,No,,6,
3545845505,2020-02-15,Trata,Trata de personas,Acusado,Camerun,Buenos Aires,Villa Sarmiento,Hombre,35,No,,6,
4545845505,2020-02-15,Trata,Explotación sexual,Victima directa,,Santa Catarina,Guatambú,Mujer,22,No,,,
6545845505,2020-02-15,Trata,Explotación sexual,Victima directa,,Santa Catarina,Guatambú,Mujer,22,No,,,
2555845505,2020-02-16,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Luján,Mujer,24,No,,6,
2555845505,2020-02-16,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Luján,Mujer,22,Sí,,6,
8455845505,2020-02-16,Trata,Grooming,Victima directa,,Mendoza,General Alvear,Mujer,,No,,50,
8455845505,2020-02-16,Trata,Grooming,Acusado,,Mendoza,San Martín,Hombre,,No,,50,
3555845505,2020-02-17,Trata,Abuso sexual infantil,Victima directa,,Buenos Aires,Ensenada,Hombre,,No,,6,
3555845505,2020-02-17,Trata,Abuso sexual infantil,Victima directa,,Buenos Aires,Ensenada,Mujer,,No,,6,
3555845505,2020-02-17,Trata,Abuso sexual infantil,Acusado,,,,Hombre,,No,,,
2565845505,2020-02-18,Trata,Explotación sexual,Acusado,Sin descripcion,Buenos Aires,Temperley,Mujer,,No,,6,
7565845505,2020-02-18,Trata,Oferta laboral engañosa,Acusado,Argentina,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Mujer,,No,,2,
1575845505,2020-02-19,Trata,Posible captación,Victima directa,,Córdoba,Córdoba,Mujer,28,No,,14,
6575845505,2020-02-19,Trata,Explotación sexual,Acusado,Paraguay,Buenos Aires,,Mujer,,No,,6,
6575845505,2020-02-19,Trata,Explotación sexual,Acusado,Argentina,,,Hombre,,No,,,
1584945505,2020-02-20,Trata,"Explotación laboral niñas, niños y adolescentes",Acusado,Bolivia,Buenos Aires,La Tablada,Hombre,45,No,,6,
3584945505,2020-02-20,Trata,Abuso sexual de menores,Victima directa,Argentina,,,Mujer,,No,,,
3584945505,2020-02-20,Trata,Abuso sexual de menores,Victima indirecta - familiar,Argentina,Buenos Aires,Lomas de Zamora,Mujer,,No,,6,
3584945505,2020-02-20,Trata,Abuso sexual de menores,Acusado,,Buenos Aires,Lomas de Zamora,Hombre,,No,,6,
7584945505,2020-02-20,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,José Mármol,Mujer,14,No,,6,
2594945505,2020-02-21,Trata,Explotación sexual,Victima directa,Argentina,,,Mujer,,No,,,
3594945505,2020-02-21,Trata,Explotación sexual,Victima directa,Argentina,,,Mujer,39,No,,,
594945505,2020-02-21,Trata,Posible captación,Victima directa,,Córdoba,Córdoba,Mujer,,No,,14,
6594945505,2020-02-22,Trata,Explotación sexual,Acusado,,Buenos Aires,Castelar,Mujer,,No,,6,
6594945505,2020-02-22,Trata,Explotación sexual,Victima directa,,,,Mujer,,No,,,
6594945505,2020-02-22,Trata,Explotación sexual,Victima directa,,,,Mujer,,No,,,
6594945505,2020-02-22,Trata,Explotación sexual,Victima directa,,,,Mujer,,No,,,
2505945505,2020-02-23,Trata,Persona desaparecida,Victima directa,,Santa Fe,Santa Fe,Hombre,,No,,82,
505945505,2020-02-23,Trata,Explotación sexual,Victima directa,,,,Mujer,,No,,,
505945505,2020-02-23,Trata,Explotación sexual,Acusado,,Buenos Aires,Castelar,Mujer,,No,,6,
5515945505,2020-02-25,Trata,"Explotación sexual, abuso sexual infantil",Victima directa,Argentina,Corrientes,Esquina,Mujer,,No,,18,
5515945505,2020-02-25,Trata,"Explotación sexual, abuso sexual infantil",Acusado,,Corrientes,Esquina,Hombre,,No,,18,
6515945505,2020-02-25,Trata,Posible captación,Victima directa,,,,Mujer,30,No,,,
7515945505,2020-02-25,Trata,Posible captación,Victima directa,,,,Mujer,30,No,,,
2525945505,2020-02-26,Trata,Traslado de personas,Victima directa,,Salta,Salta,Mujer,,No,,66,
3535945505,2020-02-26,Trata,Matrimonio forzado,Victima directa,,Buenos Aires,Coronel Suárez,Mujer,13,No,,6,
3535945505,2020-02-26,Trata,Matrimonio forzado,Acusado,,Buenos Aires,Coronel Suárez,Hombre,35,No,,6,
535945505,2020-02-26,Trata,Explotación laboral,Victima directa,Argentina,,,Hombre,,No,No,,
5535945505,2020-02-26,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,,Mujer,63,No,Sí,6,
5535945505,2020-02-26,Trata,Persona desaparecida,Victima indirecta - familiar,,Buenos Aires,,Mujer,,No,,6,
5535945505,2020-02-26,Trata,Persona desaparecida,Victima indirecta - familiar,Argentina,,,Hombre,,No,,,
6525945505,2020-02-26,Trata,Posible captación,Victima directa,,Salta,Salta,Mujer,,No,,66,
7525945505,2020-02-26,Trata,Explotación sexual,Victima directa,Argentina,,,Mujer,,No,No,,
3545945505,2020-02-27,Trata,Oferta laboral engañosa,Acusado,,,,Mujer,,No,,,
3545945505,2020-02-27,Trata,Oferta laboral engañosa,Acusado,,,,Mujer,,No,,,
3545945505,2020-02-27,Trata,Oferta laboral engañosa,Victima directa,,,,Mujer,17,No,,,
4545945505,2020-02-27,Trata,Matrimonio forzado,Victima directa,,Buenos Aires,Coronel Suárez,Mujer,,No,,6,
4545945505,2020-02-27,Trata,Matrimonio forzado,Acusado,,Buenos Aires,Coronel Suárez,Hombre,,No,,6,
545945505,2020-02-27,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,,Chubut,Trelew,Mujer,15,No,,26,
545945505,2020-02-27,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,,,,Mujer,13,No,,,
545945505,2020-02-27,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,,Chubut,Trelew,Mujer,51,No,,26,
6535945505,2020-02-27,Trata,Explotación sexual,Victima directa,,Santa Catarina,Guatambú,Mujer,,No,,,
6535945505,2020-02-27,Trata,Explotación sexual,Victima indirecta - familiar,,,,Mujer,,No,,,
6535945505,2020-02-27,Trata,Explotación sexual,Acusado,,,,Hombre,,No,,,
7545945505,2020-02-27,Trata,Posible captación,Victima directa,Argentina,,,Mujer,20,No,,,
4555945505,2020-02-28,Trata,Oferta laboral engañosa,Acusado,Argentina,Buenos Aires,Buenos Aires,Hombre,,No,,6,
5555945505,2020-02-28,Trata,Oferta laboral engañosa,Acusado,Argentina,Buenos Aires,Buenos Aires,Hombre,,No,,6,
6555945505,2020-02-28,Trata,"Posible abuso sexual infantil, violencia física",Acusado,Argentina,Buenos Aires,Lanús Oeste,Hombre,,No,,6,
6555945505,2020-02-28,Trata,"Posible abuso sexual infantil, violencia física",Victima directa,Argentina,Buenos Aires,Lanús Oeste,Hombre,11,No,,6,
7555945505,2020-02-28,Trata,Explotación laboral,Victima directa,,,,Hombre,,No,,,
7555945505,2020-02-28,Trata,Explotación laboral,Acusado,,,,Mujer,,No,,,
7555945505,2020-02-28,Trata,Explotación laboral,Acusado,,,,Mujer,,No,,,
